features,weight
system.cpu.dcache.ReadReq_mshr_miss_rate::total,1.6457e+00
system.cpu.commit.op_class_0::SimdMisc,1.4020e+00
system.cpu.commit.op_class_0::SimdAdd,1.4002e+00
system.cpu.commit.membars,1.3769e+00
system.cpu.commit.op_class_0::SimdAlu,1.3440e+00
system.l2.ReadSharedReq_miss_latency::total,1.3342e+00
system.l2.ReadSharedReq_mshr_miss_latency::total,1.3340e+00
system.l2.ReadSharedReq_misses::total,1.3304e+00
system.l2.ReadSharedReq_mshr_misses::total,1.3304e+00
system.cpu.rename.serializeStallCycles,1.3294e+00
system.membus.trans_dist::ReadResp,1.3277e+00
system.membus.trans_dist::ReadSharedReq,1.3277e+00
system.cpu.dcache.ReadReq_mshr_miss_latency::total,1.2714e+00
system.cpu.dcache.ReadReq_miss_latency::total,1.2595e+00
system.cpu.commit.commitNonSpecStalls,1.2529e+00
system.cpu.fp_regfile_reads,1.2462e+00
system.cpu.rename.fp_rename_lookups,1.2364e+00
system.l2.ReadSharedReq_mshr_miss_rate::total,1.2232e+00
system.l2.ReadSharedReq_miss_rate::total,1.2232e+00
system.cpu.iq.iqNonSpecInstsAdded,1.2153e+00
system.cpu.fp_regfile_writes,1.1765e+00
system.cpu.iq.fp_alu_accesses,1.1508e+00
system.cpu.iq.fp_inst_queue_reads,1.1449e+00
system.cpu.iq.fp_inst_queue_wakeup_accesses,1.1404e+00
system.cpu.commit.fp_insts,1.1401e+00
system.cpu.iq.fu_busy_cnt,1.1373e+00
system.cpu.iq.fp_inst_queue_writes,1.1199e+00
system.cpu.icache.blocked_cycles::no_mshrs,1.0045e+00
system.cpu.iew.wb_fanout,9.5945e-01
system.cpu.rename.serializingInsts,9.5627e-01
system.l2.ReadSharedReq_accesses::total,8.7221e-01
system.tol2bus.trans_dist::ReadSharedReq,8.7221e-01
system.cpu.dcache.ReadReq_mshr_misses::total,8.7221e-01
system.tol2bus.trans_dist::ReadResp,8.6965e-01
system.cpu.dcache.ReadReq_misses::total,8.4493e-01
system.cpu.commit.op_class_0::FloatCvt,8.3402e-01
system.cpu.fetch.IcacheWaitRetryStallCycles,7.5203e-01
system.cpu.icache.blocked::no_mshrs,6.9098e-01
system.mem_ctrls_0.memoryStateTime::SREF,6.7776e-01
system.mem_ctrls_0.selfRefreshEnergy,6.5944e-01
system.cpu.dcache.ReadReq_miss_rate::total,6.5704e-01
system.cpu.dcache.blocked::no_targets,6.0264e-01
system.cpu.fetch.rateDist::stdev,5.9560e-01
system.cpu.icache.tags.avg_refs,5.9541e-01
system.cpu.iew.wb_consumers,5.1835e-01
system.cpu.dcache.avg_blocked_cycles::no_mshrs,4.8173e-01
system.cpu.dcache.blocked_cycles::no_mshrs,4.6878e-01
system.tol2bus.snoop_filter.hit_multi_requests,4.2813e-01
system.cpu.iq.issued_per_cycle::stdev,3.8986e-01
system.cpu.icache.tags.occ_percent::total,3.6272e-01
system.cpu.icache.tags.tagsinuse,3.6271e-01
system.cpu.commit.committedOps,3.5892e-01
system.cpu.commit.op_class_0::total,3.5892e-01
system.cpu.committedOps,3.5892e-01
system.cpu.commit.committedInsts,3.5501e-01
system.cpu.committedInsts,3.5501e-01
system.cpu.iew.wb_producers,3.5090e-01
system.cpu.commit.committed_per_cycle::stdev,3.4892e-01
system.cpu.iew.wb_count,3.3855e-01
system.cpu.iew.wb_sent,3.3796e-01
system.cpu.iew.iewExecutedInsts,3.3732e-01
system.cpu.iq.iqInstsIssued,3.3439e-01
system.cpu.iq.FU_type_0::total,3.3439e-01
system.cpu.iq.fu_full::FloatCvt,3.3077e-01
system.cpu.iew.iewDispatchedInsts,3.2030e-01
system.cpu.rob.rob_writes,3.1763e-01
system.cpu.rename.skidInsts,3.1436e-01
system.cpu.rename.RenamedInsts,3.1193e-01
system.cpu.decode.DecodedInsts,3.0752e-01
system.cpu.decode.UnblockCycles,3.0618e-01
system.l2.overall_mshr_miss_rate::total,3.0592e-01
system.l2.demand_mshr_miss_rate::total,3.0592e-01
system.l2.overall_miss_rate::total,3.0574e-01
system.l2.demand_miss_rate::total,3.0574e-01
system.cpu.dcache.ReadReq_avg_mshr_miss_latency::total,2.9824e-01
system.cpu.fetch.Insts,2.9066e-01
system.cpu.memDep0.conflictingLoads,2.8333e-01
system.cpu.iq.iqInstsAdded,2.7606e-01
system.cpu.rename.ROBFullEvents,2.6950e-01
system.cpu.rename.RenameLookups,2.6645e-01
system.cpu.memDep0.conflictingStores,2.4194e-01
system.mem_ctrls.readRowHitRate,2.3672e-01
system.mem_ctrls.avgRdQLen,2.3379e-01
system.mem_ctrls.pageHitRate,2.2777e-01
system.cpu.dcache.demand_avg_mshr_miss_latency::total,2.2754e-01
system.cpu.dcache.overall_avg_mshr_miss_latency::total,2.2754e-01
system.cpu.rename.CommittedMaps,2.2321e-01
system.cpu.dcache.WriteReq_mshr_hits::total,2.1496e-01
system.cpu.rob.rob_reads,2.1250e-01
system.mem_ctrls.avgBusLat,2.0800e-01
system.cpu.rename.RenamedOperands,2.0244e-01
system.cpu.rename.RunCycles,1.9984e-01
system.cpu.commit.bw_lim_events,1.9920e-01
system.membus.snoop_fanout::total,1.9853e-01
system.membus.snoop_fanout::samples,1.9853e-01
system.cpu.commit.op_class_0::FloatMemWrite,1.8191e-01
system.cpu.commit.op_class_0::IntAlu,1.7763e-01
system.cpu.iew.lsq.thread0.squashedStores,1.6771e-01
system.cpu.fetch.rateDist::mean,1.6746e-01
system.cpu.iq.iqSquashedNonSpecRemoved,1.6374e-01
system.tol2bus.respLayer0.utilization,1.6230e-01
system.cpu.decode.RunCycles,1.6006e-01
system.cpu.iq.fu_full::MemRead,1.5545e-01
system.cpu.iq.issued_per_cycle::samples,1.5383e-01
system.cpu.fetch.rateDist::samples,1.5383e-01
system.cpu.fetch.rateDist::total,1.5383e-01
system.cpu.iq.issued_per_cycle::total,1.5383e-01
system.cpu.numCycles,1.5368e-01
system.cpu.interrupts.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.cpu.dtb.walker.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.cpu.pwrStateResidencyTicks::ON,1.5368e-01
system.cpu.icache.tags.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.l2.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.cpu.itb.walker.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.l2.tags.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.cpu.dtb_walker_cache.tags.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.cpu.dtb_walker_cache.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.cpu.icache.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.membus.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.cpu.itb_walker_cache.tags.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.cpu.dcache.tags.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.cpu.itb_walker_cache.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.cpu.dcache.pwrStateResidencyTicks::UNDEFINED,1.5368e-01
system.mem_ctrls.bytesReadWrQ,1.5295e-01
system.mem_ctrls.servicedByWrQ,1.5295e-01
system.cpu.commit.committed_per_cycle::total,1.5286e-01
system.cpu.commit.committed_per_cycle::samples,1.5286e-01
system.cpu.fetch.Cycles,1.5146e-01
system.cpu.decode.BlockedCycles,1.4851e-01
system.cpu.iew.iewBlockCycles,1.4666e-01
system.mem_ctrls.bytesPerActivate::gmean,1.4636e-01
system.cpu.dcache.overall_avg_miss_latency::total,1.4310e-01
system.cpu.dcache.demand_avg_miss_latency::total,1.4310e-01
system.cpu.dcache.tags.warmup_cycle,1.4261e-01
system.cpu.iew.memOrderViolationEvents,1.4064e-01
system.cpu.iew.lsq.thread0.memOrderViolation,1.4064e-01
system.mem_ctrls.totGap,1.3947e-01
system.cpu.iew.lsq.thread0.forwLoads,1.3933e-01
system.cpu.fetch.PendingTrapStallCycles,1.3770e-01
system.mem_ctrls.bw_inst_read::total,1.3750e-01
system.cpu.iew.wb_rate,1.3660e-01
system.cpu.fetch.PendingQuiesceStallCycles,1.3445e-01
system.cpu.iew.exec_rate,1.3288e-01
system.cpu.branchPred.usedRAS,1.2934e-01
system.cpu.rename.tempSerializingInsts,1.2685e-01
system.cpu.iew.lsq.thread0.squashedLoads,1.2490e-01
system.cpu.dtb.rdMisses,1.2376e-01
system.cpu.iq.rate,1.2349e-01
system.cpu.workload.numSyscalls,1.2296e-01
system.cpu.iew.iewDispNonSpecInsts,1.2203e-01
system.cpu.commit.op_class_0::FloatAdd,1.2106e-01
system.cpu.iq.iqSquashedOperandsExamined,1.1898e-01
system.cpu.iq.iqSquashedInstsExamined,1.1776e-01
system.cpu.commit.commitSquashedInsts,1.1774e-01
system.cpu.fetch.SquashCycles,1.1623e-01
system.cpu.iew.iewSquashCycles,1.1623e-01
system.cpu.rename.SquashCycles,1.1623e-01
system.cpu.decode.SquashCycles,1.1623e-01
system.cpu.commit.function_calls,1.1579e-01
system.cpu.iew.iewIQFullEvents,1.1462e-01
system.cpu.commit.op_class_0::SimdCvt,1.1117e-01
system.cpu.itb.wrAccesses,1.1056e-01
system.cpu.icache.ReadReq_hits::total,1.1049e-01
system.cpu.icache.demand_hits::total,1.1049e-01
system.cpu.icache.overall_hits::total,1.1049e-01
system.cpu.fetch.CacheLines,1.1045e-01
system.cpu.icache.demand_accesses::total,1.1045e-01
system.cpu.icache.ReadReq_accesses::total,1.1045e-01
system.cpu.icache.overall_accesses::total,1.1045e-01
system.cpu.icache.tags.total_refs,1.1044e-01
system.cpu.icache.tags.tag_accesses,1.1044e-01
system.cpu.icache.tags.data_accesses,1.1044e-01
system.cpu.fetch.IcacheSquashes,1.1034e-01
system.cpu.fetch.MiscStallCycles,1.0616e-01
system.cpu.fetch.icacheStallCycles,1.0444e-01
system.mem_ctrls.avgMemAccLat,1.0307e-01
system.mem_ctrls.avgQLat,1.0196e-01
system.cpu.iq.fu_full::FloatMemWrite,1.0041e-01
system.cpu.rename.UndoneMaps,9.7118e-02
system.cpu.iq.issued_per_cycle::mean,9.6759e-02
system.mem_ctrls.bytesPerActivate::mean,8.8939e-02
system.l2.ReadCleanReq_hits::total,8.5437e-02
system.cpu.dcache.overall_mshr_miss_rate::total,8.5251e-02
system.cpu.dcache.demand_mshr_miss_rate::total,8.5251e-02
system.cpu.iq.int_inst_queue_reads,8.3050e-02
system.cpu.rename.IdleCycles,8.0821e-02
system.cpu.dcache.demand_miss_rate::total,8.0307e-02
system.cpu.dcache.overall_miss_rate::total,8.0307e-02
system.cpu.dcache.overall_mshr_hits::total,7.8026e-02
system.cpu.dcache.demand_mshr_hits::total,7.8026e-02
system.cpu.dcache.ReadReq_mshr_hits::total,7.7732e-02
system.cpu.commit.op_class_0::MemRead,6.9544e-02
system.cpu.rename.IQFullEvents,6.8136e-02
system.cpu.iq.iqSquashedInstsIssued,6.5832e-02
system.cpu.branchPredindirectMispredicted,6.2805e-02
system.tol2bus.trans_dist::CleanEvict,6.2205e-02
system.cpu.dcache.blocked_cycles::no_targets,6.0496e-02
system.cpu.branchPred.RASInCorrect,6.0397e-02
system.cpu.itb.wrMisses,6.0131e-02
system.cpu.icache.demand_mshr_hits::total,5.7388e-02
system.cpu.icache.ReadReq_mshr_hits::total,5.7388e-02
system.cpu.icache.overall_mshr_hits::total,5.7388e-02
system.cpu.iew.predictedNotTakenIncorrect,5.4684e-02
system.cpu.iew.iewExecSquashedInsts,4.7303e-02
system.cpu.branchPred.indirectMisses,4.5865e-02
system.cpu.timesIdled,3.2240e-02
system.cpu.iew.iewDispSquashedInsts,3.1934e-02
system.cpu.iew.iewDispStoreInsts,1.5119e-02
system.cpu.memDep0.insertedStores,1.5119e-02
system.cpu.rename.BlockCycles,1.5096e-02
system.cpu.iew.lsq.thread0.ignoredResponses,1.4644e-02
system.l2.ReadCleanReq_mshr_miss_rate::total,1.1772e-02
system.l2.ReadCleanReq_miss_rate::total,1.1354e-02
system.cpu.commit.branchMispredicts,1.1049e-02
system.cpu.commit.committed_per_cycle::mean,1.0427e-02
system.cpu.branchPred.condIncorrect,9.7953e-03
system.cpu.iew.iewLSQFullEvents,3.3690e-03
system.cpu.iew.iewUnblockCycles,3.3029e-03
system.cpu.iew.branchMispredicts,-1.4007e-03
system.cpu.iq.int_inst_queue_writes,-3.3824e-03
system.cpu.dcache.blocked::no_mshrs,-3.9838e-03
system.cpu.icache.ReadReq_avg_mshr_miss_latency::total,-6.9314e-03
system.cpu.icache.demand_avg_mshr_miss_latency::total,-6.9314e-03
system.cpu.icache.overall_avg_mshr_miss_latency::total,-6.9314e-03
system.cpu.icache.demand_misses::total,-8.3703e-03
system.cpu.icache.ReadReq_misses::total,-8.3703e-03
system.cpu.icache.overall_misses::total,-8.3703e-03
system.cpu.dcache.WriteReq_hits::total,-1.4440e-02
system.cpu.dtb.wrAccesses,-1.6257e-02
system.cpu.iew.exec_stores,-1.6269e-02
system.cpu.icache.tags.sampled_refs,-2.1683e-02
system.tol2bus.respLayer0.occupancy,-2.1791e-02
system.l2.ReadCleanReq_accesses::total,-2.1807e-02
system.cpu.icache.overall_mshr_misses::total,-2.2103e-02
system.tol2bus.trans_dist::ReadCleanReq,-2.2103e-02
system.cpu.icache.ReadReq_mshr_misses::total,-2.2103e-02
system.cpu.icache.demand_mshr_misses::total,-2.2103e-02
system.cpu.rename.int_rename_lookups,-2.4434e-02
system.cpu.decode.IdleCycles,-4.7578e-02
system.cpu.icache.writebacks::total,-4.9149e-02
system.cpu.icache.replacements,-4.9149e-02
system.tol2bus.trans_dist::WritebackClean,-4.9149e-02
system.cpu.int_regfile_reads,-5.0097e-02
system.l2.WritebackClean_hits::total,-5.2038e-02
system.l2.WritebackClean_accesses::total,-5.2038e-02
system.cpu.dcache.WriteReq_accesses::total,-5.6640e-02
system.l2.ReadExReq_avg_miss_latency::total,-6.3492e-02
system.cpu.iq.int_alu_accesses,-6.5325e-02
system.l2.ReadCleanReq_avg_miss_latency::total,-6.6040e-02
system.l2.ReadExReq_avg_mshr_miss_latency::total,-6.6655e-02
system.cpu.iq.int_inst_queue_wakeup_accesses,-6.9933e-02
system.cpu.dcache.WriteReq_mshr_miss_rate::total,-7.1168e-02
system.l2.ReadCleanReq_avg_mshr_miss_latency::total,-7.2418e-02
system.cpu.dcache.ReadReq_avg_miss_latency::total,-8.3213e-02
system.tol2bus.pkt_count::total,-8.4735e-02
system.tol2bus.pkt_count_system.cpu.dcache.mem_side::system.l2.cpu_side,-8.4746e-02
system.mem_ctrls.avgWrBW,-8.6622e-02
system.tol2bus.respLayer1.occupancy,-8.7453e-02
system.mem_ctrls.avgWrBWSys,-8.8522e-02
system.mem_ctrls.bw_write::total,-8.8523e-02
system.membus.snoop_filter.hit_single_requests,-9.4078e-02
system.membus.snoop_filter.tot_requests,-9.6333e-02
