features,weight
bias,4.0500e+00
system.membus.trans_dist::CleanEvict,2.5573e+00
system.cpu.iq.fu_full::IntAlu,2.2464e+00
system.l2.ReadSharedReq_hits::total,2.2042e+00
system.l2.ReadExReq_hits::total,1.9523e+00
system.cpu.commit.op_class_0::FloatCvt,1.8270e+00
system.cpu.iew.wb_fanout,1.8212e+00
system.cpu.icache.blocked::no_targets,1.5459e+00
system.cpu.icache.avg_blocked_cycles::no_targets,1.5459e+00
system.cpu.icache.blocked_cycles::no_targets,1.5459e+00
system.cpu.dcache.ReadReq_mshr_miss_rate::total,1.4308e+00
system.cpu.iew.iewLSQFullEvents,1.4249e+00
system.cpu.commit.op_class_0::SimdFloatCvt,1.4098e+00
system.cpu.iew.iewIQFullEvents,1.3963e+00
system.cpu.iew.iewUnblockCycles,1.3587e+00
system.l2.demand_hits::total,1.3079e+00
system.l2.overall_hits::total,1.3079e+00
system.cpu.rename.IQFullEvents,1.1905e+00
system.cpu.commit.op_class_0::FloatMemRead,1.1731e+00
system.cpu.iq.fp_inst_queue_writes,1.1721e+00
system.cpu.dcache.avg_blocked_cycles::no_mshrs,1.1691e+00
system.cpu.fp_regfile_writes,1.1590e+00
system.cpu.iq.fp_inst_queue_wakeup_accesses,1.1589e+00
system.cpu.fp_regfile_reads,1.1578e+00
system.cpu.rename.fp_rename_lookups,1.1577e+00
system.cpu.iq.fp_inst_queue_reads,1.1559e+00
system.cpu.iq.fp_alu_accesses,1.1531e+00
system.cpu.commit.op_class_0::SimdAdd,1.1494e+00
system.cpu.commit.op_class_0::SimdMisc,1.1483e+00
system.cpu.commit.fp_insts,1.1452e+00
system.cpu.commit.op_class_0::SimdAlu,1.1398e+00
system.l2.ReadSharedReq_miss_rate::total,1.1302e+00
system.l2.ReadSharedReq_mshr_miss_rate::total,1.1302e+00
system.cpu.ipc_total,1.1036e+00
system.cpu.ipc,1.1036e+00
system.cpu.dcache.blocked_cycles::no_mshrs,1.0889e+00
system.l2.ReadSharedReq_avg_mshr_miss_latency::total,1.0654e+00
system.cpu.commit.op_class_0::FloatAdd,1.0619e+00
system.l2.ReadSharedReq_avg_miss_latency::total,1.0602e+00
system.cpu.memDep0.conflictingLoads,1.0532e+00
system.cpu.memDep0.conflictingStores,1.0343e+00
system.cpu.commit.op_class_0::FloatMemWrite,1.0340e+00
system.cpu.commit.op_class_0::SimdFloatMult,1.0338e+00
system.cpu.itb.wrMisses,1.0116e+00
system.cpu.iq.iqSquashedNonSpecRemoved,9.9232e-01
system.cpu.iew.iewDispSquashedInsts,9.9200e-01
system.cpu.fetch.PendingTrapStallCycles,9.5553e-01
system.cpu.iew.iewBlockCycles,9.5471e-01
system.cpu.commit.op_class_0::SimdCvt,9.4681e-01
system.l2.replacements,9.2617e-01
system.tol2bus.snoops,9.2587e-01
system.cpu.dcache.writebacks::total,9.1553e-01
system.l2.WritebackDirty_accesses::total,9.1553e-01
system.l2.WritebackDirty_hits::total,9.1553e-01
system.cpu.dcache.WriteReq_misses::total,9.0951e-01
system.tol2bus.trans_dist::ReadExResp,9.0943e-01
system.l2.ReadExReq_accesses::total,9.0943e-01
system.tol2bus.trans_dist::ReadExReq,9.0943e-01
system.cpu.dcache.WriteReq_mshr_misses::total,9.0942e-01
system.membus.trans_dist::ReadExResp,9.0882e-01
system.l2.ReadExReq_misses::total,9.0882e-01
system.l2.ReadExReq_mshr_misses::total,9.0882e-01
system.membus.trans_dist::ReadExReq,9.0881e-01
system.l2.ReadSharedReq_mshr_miss_latency::total,9.0537e-01
system.cpu.dcache.WriteReq_miss_latency::total,9.0469e-01
system.cpu.dcache.WriteReq_mshr_miss_latency::total,9.0457e-01
system.l2.ReadExReq_miss_latency::total,9.0338e-01
system.l2.ReadExReq_mshr_miss_latency::total,9.0268e-01
system.tol2bus.trans_dist::WritebackDirty,9.0035e-01
system.cpu.rename.SQFullEvents,8.9789e-01
system.l2.writebacks::total,8.8500e-01
system.membus.trans_dist::WritebackDirty,8.8500e-01
system.tol2bus.snoopTraffic,8.8469e-01
system.cpu.iq.fu_full::FloatMemWrite,8.8455e-01
system.mem_ctrls.bytesWritten,8.8442e-01
system.mem_ctrls.rdPerTurnAround::total,8.8345e-01
system.mem_ctrls.wrPerTurnAround::samples,8.8345e-01
system.mem_ctrls.rdPerTurnAround::samples,8.8345e-01
system.mem_ctrls_0.writeEnergy,8.8329e-01
system.mem_ctrls_0.memoryStateTime::ACT,8.7793e-01
system.cpu.iq.fu_full::FloatCvt,8.7548e-01
system.l2.ReadSharedReq_miss_latency::total,8.6907e-01
system.cpu.iew.lsq.thread0.squashedLoads,8.6845e-01
system.cpu.icache.tags.avg_refs,8.6528e-01
system.mem_ctrls.writeRowHits,8.6463e-01
system.cpu.fetch.rateDist::stdev,8.6056e-01
system.cpu.iew.lsq.thread0.forwLoads,8.6043e-01
system.cpu.dcache.ReadReq_mshr_miss_latency::total,8.4770e-01
system.cpu.iew.lsq.thread0.squashedStores,8.4267e-01
system.mem_ctrls.num_writes::total,8.3975e-01
system.mem_ctrls.bytes_written::total,8.3975e-01
system.mem_ctrls.bytesWrittenSys,8.3975e-01
system.mem_ctrls.writeBursts,8.3975e-01
system.mem_ctrls.writeReqs,8.3975e-01
system.cpu.dcache.WriteReq_avg_miss_latency::total,8.3115e-01
system.cpu.dcache.ReadReq_miss_rate::total,8.1391e-01
system.mem_ctrls_0.actBackEnergy,8.1030e-01
system.cpu.iew.predictedNotTakenIncorrect,8.0730e-01
system.cpu.dcache.ReadReq_miss_latency::total,8.0435e-01
system.cpu.decode.UnblockCycles,7.9765e-01
system.cpu.iq.iqSquashedOperandsExamined,7.9447e-01
system.cpu.branchPredindirectMispredicted,7.7806e-01
system.cpu.rename.skidInsts,7.6980e-01
system.cpu.dcache.replacements,7.6810e-01
system.mem_ctrls.avgRdBW,7.6475e-01
system.mem_ctrls.busUtilRead,7.6295e-01
system.l2.ReadExReq_miss_rate::total,7.6261e-01
system.l2.ReadExReq_mshr_miss_rate::total,7.6261e-01
system.cpu.rename.UnblockCycles,7.6256e-01
system.mem_ctrls.busUtil,7.5797e-01
system.cpu.commit.op_class_0::No_OpClass,7.5422e-01
system.cpu.icache.tags.occ_percent::total,7.4667e-01
system.cpu.icache.tags.tagsinuse,7.4667e-01
system.cpu.iew.lsq.thread0.cacheBlocked,7.3891e-01
system.cpu.commit.op_class_0::IntDiv,7.3353e-01
system.cpu.iq.iqSquashedInstsExamined,7.1473e-01
system.cpu.commit.commitSquashedInsts,7.1461e-01
system.cpu.iew.lsq.thread0.ignoredResponses,7.0419e-01
system.cpu.rename.UndoneMaps,7.0415e-01
system.mem_ctrls.avgRdBWSys,7.0394e-01
system.mem_ctrls.bw_read::total,7.0290e-01
system.mem_ctrls.bw_total::total,6.9422e-01
system.membus.respLayer1.utilization,6.9335e-01
system.cpu.iew.branchMispredicts,6.7102e-01
system.cpu.rename.serializeStallCycles,6.6565e-01
system.cpu.icache.blocked_cycles::no_mshrs,6.6249e-01
system.l2.ReadSharedReq_misses::total,6.5561e-01
system.l2.ReadSharedReq_mshr_misses::total,6.5561e-01
system.membus.trans_dist::ReadResp,6.5207e-01
system.membus.trans_dist::ReadSharedReq,6.5205e-01
system.cpu.dtb.wrMisses,6.3150e-01
system.cpu.iew.wb_producers,6.2970e-01
system.cpu.fetch.Insts,6.2131e-01
system.cpu.iq.fu_full::MemRead,6.1560e-01
system.cpu.rob.rob_writes,6.0841e-01
system.cpu.iq.issued_per_cycle::stdev,6.0834e-01
system.cpu.commit.branchMispredicts,6.0633e-01
system.cpu.branchPred.condIncorrect,6.0622e-01
system.cpu.iew.iewDispatchedInsts,6.0493e-01
system.cpu.iq.iqInstsAdded,5.9733e-01
system.mem_ctrls.readRowHits,5.9732e-01
system.cpu.rename.RenamedInsts,5.9429e-01
system.cpu.decode.DecodedInsts,5.8499e-01
system.l2.ReadSharedReq_accesses::total,5.8304e-01
system.tol2bus.trans_dist::ReadSharedReq,5.8304e-01
system.cpu.dcache.ReadReq_mshr_misses::total,5.8303e-01
system.cpu.iew.wb_consumers,5.8128e-01
system.tol2bus.pkt_size::total,5.8066e-01
system.cpu.iq.iqNonSpecInstsAdded,5.7188e-01
system.l2.tags.occ_percent::total,5.6871e-01
system.membus.reqLayer2.occupancy,5.6793e-01
system.tol2bus.trans_dist::ReadResp,5.6323e-01
system.cpu.rename.RenamedOperands,5.6282e-01
system.cpu.rename.RenameLookups,5.5668e-01
system.cpu.dcache.ReadReq_misses::total,5.5276e-01
system.cpu.iew.wb_sent,5.5113e-01
system.cpu.iew.wb_count,5.5086e-01
system.cpu.iew.iewExecutedInsts,5.5030e-01
system.mem_ctrls.avgBusLat,5.4636e-01
system.cpu.dcache.WriteReq_avg_mshr_miss_latency::total,5.4588e-01
system.cpu.iq.iqInstsIssued,5.4489e-01
system.cpu.iq.FU_type_0::total,5.4489e-01
system.mem_ctrls.avgMemAccLat,5.4474e-01
system.cpu.dcache.blocked::no_targets,5.4423e-01
system.mem_ctrls.avgQLat,5.4207e-01
system.cpu.branchPred.indirectMisses,5.3228e-01
system.cpu.commit.op_class_0::IntMult,5.3134e-01
system.cpu.memDep0.insertedLoads,5.3127e-01
system.cpu.iew.iewDispLoadInsts,5.3127e-01
system.cpu.commit.op_class_0::SimdCmp,5.2781e-01
system.mem_ctrls.totBusLat,5.2486e-01
system.mem_ctrls.bytesReadDRAM,5.2486e-01
system.mem_ctrls.rdPerTurnAround::gmean,5.2426e-01
system.cpu.committedInsts,5.2371e-01
system.cpu.commit.committedInsts,5.2371e-01
system.membus.pkt_size_system.l2.mem_side::system.mem_ctrls.port,5.2239e-01
system.membus.pkt_size::total,5.2239e-01
system.membus.pkt_size_system.l2.mem_side::total,5.2239e-01
system.cpu.iew.lsq.thread0.memOrderViolation,5.1541e-01
system.cpu.iew.memOrderViolationEvents,5.1541e-01
system.cpu.committedOps,5.1472e-01
system.cpu.commit.committedOps,5.1472e-01
system.cpu.commit.op_class_0::total,5.1472e-01
system.cpu.fetch.PendingQuiesceStallCycles,5.1456e-01
system.tol2bus.reqLayer0.occupancy,5.0168e-01
system.mem_ctrls.totMemAccLat,4.9709e-01
system.cpu.branchPred.RASInCorrect,4.9317e-01
system.mem_ctrls_0.readEnergy,4.8879e-01
system.cpu.rename.serializingInsts,4.7822e-01
system.cpu.iew.iewDispStoreInsts,4.7620e-01
system.cpu.memDep0.insertedStores,4.7620e-01
system.mem_ctrls.totQLat,4.6749e-01
system.cpu.rename.RunCycles,4.6600e-01
system.cpu.rename.CommittedMaps,4.6140e-01
system.tol2bus.reqLayer0.utilization,4.5482e-01
system.l2.overall_avg_mshr_miss_latency::total,4.5221e-01
system.l2.demand_avg_mshr_miss_latency::total,4.5221e-01
system.tol2bus.trans_dist::CleanEvict,4.5128e-01
system.l2.demand_avg_miss_latency::total,4.4730e-01
system.l2.overall_avg_miss_latency::total,4.4730e-01
system.cpu.commit.commitNonSpecStalls,4.3688e-01
system.l2.ReadCleanReq_mshr_miss_latency::total,4.2603e-01
system.cpu.icache.demand_mshr_miss_latency::total,4.2258e-01
system.cpu.icache.overall_mshr_miss_latency::total,4.2258e-01
system.cpu.icache.ReadReq_mshr_miss_latency::total,4.2258e-01
system.l2.ReadCleanReq_miss_latency::total,4.1496e-01
system.cpu.icache.blocked::no_mshrs,4.1313e-01
system.cpu.rename.ROBFullEvents,4.0549e-01
