features,weight
system.cpu.dcache.ReadReq_mshr_miss_rate::total,2.1871e+00
system.cpu.icache.tags.avg_refs,2.0494e+00
system.cpu.commit.membars,2.0444e+00
system.cpu.commit.commitNonSpecStalls,2.0046e+00
system.cpu.iq.iqNonSpecInstsAdded,1.9881e+00
system.cpu.rename.serializeStallCycles,1.9863e+00
system.l2.ReadSharedReq_mshr_misses::total,1.9788e+00
system.l2.ReadSharedReq_misses::total,1.9788e+00
system.membus.trans_dist::ReadResp,1.9759e+00
system.membus.trans_dist::ReadSharedReq,1.9759e+00
system.l2.ReadSharedReq_miss_latency::total,1.8481e+00
system.l2.ReadSharedReq_mshr_miss_latency::total,1.8056e+00
system.cpu.rename.serializingInsts,1.8050e+00
system.cpu.dcache.ReadReq_mshr_miss_latency::total,1.7880e+00
system.cpu.dcache.ReadReq_miss_latency::total,1.7582e+00
system.cpu.iew.wb_fanout,1.6960e+00
system.l2.ReadSharedReq_mshr_miss_rate::total,1.6395e+00
system.l2.ReadSharedReq_miss_rate::total,1.6395e+00
system.l2.ReadSharedReq_accesses::total,1.5792e+00
system.tol2bus.trans_dist::ReadSharedReq,1.5792e+00
system.cpu.dcache.ReadReq_mshr_misses::total,1.5792e+00
system.cpu.commit.op_class_0::FloatCvt,1.5741e+00
system.tol2bus.trans_dist::ReadResp,1.5678e+00
system.cpu.dcache.ReadReq_misses::total,1.5313e+00
system.cpu.dcache.blocked_cycles::no_mshrs,1.4849e+00
system.cpu.commit.op_class_0::SimdMisc,1.4771e+00
system.cpu.commit.op_class_0::SimdAdd,1.4555e+00
system.mem_ctrls.bytesReadWrQ,1.4187e+00
system.mem_ctrls.servicedByWrQ,1.4187e+00
system.cpu.commit.op_class_0::SimdAlu,1.3865e+00
system.cpu.fetch.PendingQuiesceStallCycles,1.3475e+00
system.cpu.fp_regfile_writes,1.2484e+00
system.cpu.iew.lsq.thread0.ignoredResponses,1.2328e+00
system.cpu.dcache.avg_blocked_cycles::no_mshrs,1.2155e+00
system.cpu.iew.iewDispSquashedInsts,1.1504e+00
system.cpu.fp_regfile_reads,1.1279e+00
system.cpu.rename.fp_rename_lookups,1.1183e+00
system.cpu.icache.blocked_cycles::no_mshrs,1.1099e+00
system.cpu.decode.UnblockCycles,9.6128e-01
system.cpu.iq.fu_busy_cnt,9.0841e-01
system.cpu.dcache.WriteReq_mshr_hits::total,8.6804e-01
system.cpu.iq.fp_alu_accesses,8.5374e-01
system.mem_ctrls_0.memoryStateTime::SREF,8.5219e-01
system.cpu.iq.iqSquashedInstsIssued,8.4560e-01
system.cpu.iew.wb_consumers,8.4262e-01
system.cpu.iq.fp_inst_queue_reads,8.3847e-01
system.cpu.fetch.IcacheWaitRetryStallCycles,8.3176e-01
system.cpu.iq.fp_inst_queue_wakeup_accesses,8.2480e-01
system.cpu.commit.fp_insts,8.2115e-01
system.mem_ctrls_0.selfRefreshEnergy,8.1709e-01
system.cpu.fetch.Insts,8.1567e-01
system.cpu.iq.fp_inst_queue_writes,8.0993e-01
system.cpu.rename.RenamedOperands,8.0282e-01
system.cpu.icache.blocked::no_mshrs,8.0051e-01
system.cpu.fetch.rateDist::stdev,7.9676e-01
system.cpu.committedInsts,7.9637e-01
system.cpu.commit.committedInsts,7.9637e-01
system.cpu.dcache.ReadReq_miss_rate::total,7.8892e-01
system.cpu.dcache.blocked::no_mshrs,7.8336e-01
system.cpu.rename.CommittedMaps,7.7908e-01
system.cpu.iew.wb_producers,7.7630e-01
system.cpu.branchPredindirectMispredicted,7.7242e-01
system.cpu.fetch.IcacheSquashes,7.6814e-01
system.cpu.iew.predictedNotTakenIncorrect,7.6522e-01
system.cpu.commit.op_class_0::IntAlu,7.3455e-01
system.cpu.dtb.rdMisses,7.2588e-01
system.cpu.fetch.SquashCycles,7.1752e-01
system.cpu.decode.SquashCycles,7.1752e-01
system.cpu.iew.iewSquashCycles,7.1752e-01
system.cpu.rename.SquashCycles,7.1752e-01
system.cpu.icache.overall_hits::total,7.1271e-01
system.cpu.icache.ReadReq_hits::total,7.1271e-01
system.cpu.icache.demand_hits::total,7.1271e-01
system.cpu.icache.tags.total_refs,7.1191e-01
system.cpu.fetch.CacheLines,7.1176e-01
system.cpu.icache.demand_accesses::total,7.1175e-01
system.cpu.icache.ReadReq_accesses::total,7.1175e-01
system.cpu.icache.overall_accesses::total,7.1175e-01
system.cpu.icache.tags.tag_accesses,7.1155e-01
system.cpu.icache.tags.data_accesses,7.1155e-01
system.cpu.decode.DecodedInsts,7.1091e-01
system.cpu.itb.wrAccesses,7.0839e-01
system.cpu.branchPred.condIncorrect,7.0786e-01
system.cpu.rename.RenamedInsts,7.0465e-01
system.cpu.fetch.icacheStallCycles,6.9869e-01
system.cpu.rob.rob_writes,6.9231e-01
system.cpu.iew.branchMispredicts,6.9217e-01
system.cpu.iq.fu_full::FloatCvt,6.9144e-01
system.cpu.iew.iewDispatchedInsts,6.9098e-01
system.cpu.commit.branchMispredicts,6.8849e-01
system.cpu.iq.FU_type_0::total,6.8047e-01
system.cpu.iq.iqInstsIssued,6.8047e-01
system.cpu.iew.iewExecutedInsts,6.7713e-01
system.cpu.iew.wb_sent,6.7581e-01
system.cpu.iew.wb_count,6.7481e-01
system.cpu.commit.committedOps,6.6969e-01
system.cpu.committedOps,6.6969e-01
system.cpu.commit.op_class_0::total,6.6969e-01
system.mem_ctrls.avgGap,6.6070e-01
system.cpu.rename.UndoneMaps,6.6000e-01
system.cpu.iew.iewExecSquashedInsts,6.4117e-01
system.cpu.iq.iqSquashedOperandsExamined,6.2791e-01
system.cpu.iew.lsq.thread0.squashedStores,6.2241e-01
system.cpu.iq.iqInstsAdded,6.0048e-01
system.cpu.rename.skidInsts,6.0046e-01
system.cpu.commit.op_class_0::FloatAdd,5.9802e-01
system.cpu.commit.commitSquashedInsts,5.9356e-01
system.cpu.iq.iqSquashedInstsExamined,5.9328e-01
system.cpu.fetch.rateDist::mean,5.8218e-01
system.cpu.commit.op_class_0::SimdCvt,5.6420e-01
system.cpu.cc_regfile_writes,5.6258e-01
system.cpu.iew.lsq.thread0.squashedLoads,5.3391e-01
system.cpu.rename.RunCycles,5.2119e-01
system.cpu.iq.int_inst_queue_writes,5.0682e-01
system.cpu.icache.overall_avg_miss_latency::total,5.0519e-01
system.cpu.icache.demand_avg_miss_latency::total,5.0519e-01
system.cpu.icache.ReadReq_avg_miss_latency::total,5.0519e-01
system.cpu.memDep0.conflictingLoads,4.9535e-01
system.l2.demand_miss_rate::total,4.8766e-01
system.l2.overall_miss_rate::total,4.8766e-01
system.l2.overall_mshr_miss_rate::total,4.8746e-01
system.l2.demand_mshr_miss_rate::total,4.8746e-01
system.cpu.iq.issued_per_cycle::stdev,4.8357e-01
system.cpu.rename.RenameLookups,4.8085e-01
system.mem_ctrls.bytesPerActivate::gmean,4.7333e-01
system.cpu.branchPred.RASInCorrect,4.6893e-01
system.cpu.dcache.blocked::no_targets,4.6732e-01
system.cpu.memDep0.conflictingStores,4.6071e-01
system.cpu.commit.committed_per_cycle::stdev,4.4608e-01
system.cpu.icache.tags.occ_percent::total,4.4131e-01
system.cpu.icache.tags.tagsinuse,4.4131e-01
system.cpu.rename.IdleCycles,4.4028e-01
system.cpu.iq.int_inst_queue_wakeup_accesses,4.3080e-01
system.cpu.iq.int_alu_accesses,4.3040e-01
system.tol2bus.respLayer0.utilization,3.6344e-01
system.cpu.int_regfile_writes,3.6306e-01
system.cpu.icache.ReadReq_avg_mshr_miss_latency::total,3.5538e-01
system.cpu.icache.demand_avg_mshr_miss_latency::total,3.5538e-01
system.cpu.icache.overall_avg_mshr_miss_latency::total,3.5538e-01
system.cpu.decode.RunCycles,3.1165e-01
system.mem_ctrls.avgBusLat,3.0392e-01
system.cpu.iq.issued_per_cycle::mean,2.9931e-01
system.cpu.iew.predictedTakenIncorrect,2.9613e-01
system.cpu.iew.memOrderViolationEvents,2.9345e-01
system.cpu.iew.lsq.thread0.memOrderViolation,2.9345e-01
system.membus.snoop_fanout::total,2.9258e-01
system.membus.snoop_fanout::samples,2.9258e-01
system.mem_ctrls.bw_inst_read::total,2.9145e-01
system.mem_ctrls.avgMemAccLat,2.8586e-01
system.mem_ctrls.avgQLat,2.8433e-01
system.mem_ctrls.bytesPerActivate::mean,2.7822e-01
system.mem_ctrls.avgRdQLen,2.6824e-01
system.cpu.dcache.overall_avg_mshr_miss_latency::total,2.6383e-01
system.cpu.dcache.demand_avg_mshr_miss_latency::total,2.6383e-01
system.cpu.branchPred.indirectMisses,2.5971e-01
system.tol2bus.snoop_filter.hit_multi_requests,2.4809e-01
system.cpu.rob.rob_reads,2.3288e-01
system.cpu.dcache.demand_mshr_miss_rate::total,2.2813e-01
system.cpu.dcache.overall_mshr_miss_rate::total,2.2813e-01
system.cpu.dcache.blocked_cycles::no_targets,2.2805e-01
system.cpu.iq.iqSquashedNonSpecRemoved,2.2234e-01
system.cpu.decode.IdleCycles,2.2167e-01
system.cpu.iew.iewBlockCycles,2.2152e-01
system.l2.ReadCleanReq_miss_rate::total,2.1913e-01
